,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
15,False,/sJEcInnWer58nvYEbZmrx5eAQ7R.jpg,"[53, 27, 18, 9648]",8968,en,Boogeyman,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?",11.915,/5KffN0UcuAKJdUAcOvZ21OrqXc8.jpg,2005-02-04,Boogeyman,False,5.0,558
16,False,/u6qrMY2PIzXwmydmKNHmVDFbjaV.jpg,"[35, 10751, 12, 14, 10749]",11451,en,Herbie Fully Loaded,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.",25.751,/7lTfTZ8CDfXw09eAv3OOvsbCVgs.jpg,2005-06-22,Herbie Fully Loaded,False,5.6,1832
17,False,/2DKpjWI0j6eRhF3lPUE4lc7wqP0.jpg,"[10751, 14, 878, 12, 35]",6795,en,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",30.969,/g0HLEZfqJp5dRxMzkgZwW9puP7N.jpg,2005-11-06,Zathura: A Space Adventure,False,6.4,2534
18,False,/7qN0QWm2lXjjUoo3hzxz0412Oky.jpg,"[10751, 16, 12, 35, 10752]",14175,en,Valiant,"Set in 1944, Valiant is a woodland pigeon who wants to become a great hero someday. When he hears they are hiring recruits for the Royal Homing Pigeon Service, he immediately sets out for London. On the way, he meets a smelly but friendly pigeon named Bugsy, who joins him, mainly to get away from clients he cheated in a game of find-the pebble, and helps him sign up for the war.",15.168,/chtAKvXb897I2Pn8HOkV4TC5Jzz.jpg,2005-03-25,Valiant,False,5.5,695
19,False,/5EEdDTV0IBxJ2J4jDUDvl076v7f.jpg,"[18, 53, 80]",59,en,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,18.974,/rrc6GiAKHDrUjp8OmdVng9hRWBn.jpg,2005-09-23,A History of Violence,False,7.2,2361
0,False,/kif8aF9qNN88Z0ehuP14YM789nH.jpg,"[27, 35]",10012,en,Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",40.225,/em45jL4CfTMyj5V83kj7rhdorJu.jpg,2005-02-25,Cursed,False,5.5,500
1,False,/o1a5hUxzdXtz1vmu240euYHNe8E.jpg,"[18, 27, 80]",1696,en,The Devil's Rejects,"The sequel to House of 1000 Corpses – the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing – yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way.",11.012,/jh7DntVbhrNS4JkeEQW6QxcPWim.jpg,2005-07-22,The Devil's Rejects,False,6.8,1044
2,False,/nmFUvAp2aQrzMbDF7xXcCQ6GZpf.jpg,[35],7553,en,Waiting...,"Employees at a Bennigan's-like restaurant (called, creatively enough, Shenanigan's), kill time before their real lives get started. But while they wait, they'll have to deal with picky customers who want their steak cooked to order and enthusiastic managers who want to build the perfect wait staff. Luckily, these employees have effective revenge tactics.",16.103,/h3NJDiaaliUH35ApXPu8PFKZwWz.jpg,2005-10-07,Waiting...,False,6.3,565
3,False,/uAFQor4TLKd6U3xCvDlhKMUeHjP.jpg,[18],1947,en,An Unfinished Life,"Stoic and heartbroken, Einar Gilkyson quietly lives in the rugged Wyoming ranchlands alongside his only trusted friend, Mitch Bradley. One day, the woman he blames for the death of his only son arrives at his door broke, desperate and with a granddaughter he's never known. But even as buried anger and accusations resurface, the way is opened for unexpected connection, adventure and forgiveness.",10.41,/7ugLG1yF1l8HWYhmdmHHSC3kJ8b.jpg,2005-09-09,An Unfinished Life,False,6.7,456
4,False,/wVsGQt9s7djp7cDhjRbCPIj7nEV.jpg,[35],9687,en,Keeping Mum,A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair and his children are up to no good.,12.175,/nkyS4lkiEOCx7mtlMtWLYodbVpb.jpg,2005-12-02,Keeping Mum,False,6.6,430
5,False,/sAJLQPPAsPK1BcstrUFuehOYiEe.jpg,"[18, 10752, 10749, 36]",11661,fr,Joyeux Noël,"France, 1914, during World War I. On Christmas Eve, an extraordinary event takes place in the bloody no man's land that the French and the Scots dispute with the Germans…",11.251,/9Ka8lKCIiWjnZiMslPQeakS5UhW.jpg,2005-11-09,Joyeux Noel,False,7.4,652
